,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
6898,1018324957850488800,"['protect', 'your', 'money', 'by', 'investing', 'in', 'the', 'companies', 'you', 'know', 'the', 'ones', 'that', 'make', 'your', 'food', 'drinks', 'toothpaste', 'a', 'httpstcolxxldy']",Sun Jul 15 02:42:44 +0000 2018,cblanchfieldcfa,TAP,Molson Coors Brewing Company,https://twitter.com/i/web/status/1018324957850488833,False,5.832222222222221
7002,1018346712451178500,"['molson', 'coors', 'brewing', 'co', 'class', 'b', 'tap', 'receives', 'consensus', 'rating', 'of', 'hold', 'from', 'brokerages', 'httpstcohsugsfaed']",Sun Jul 15 04:09:10 +0000 2018,TheMarketsDaily,TAP,Molson Coors Brewing Company,http://zpr.io/6NvPs,False,5.4270000000000005
7086,1018363108413333500,"['pay', 'too', 'fit', 'born', 'for', 'a', 'cube', 'he', 'tap', 'big']",Sun Jul 15 05:14:19 +0000 2018,stockbard,TAP,Molson Coors Brewing Company,,False,5.6579999999999995
7823,1018483902720237600,"['stay', 'two', 'ads', 'two', 'cubs', 'ago', 'fly', 'my', 'foe', 'he', 'tap', 'low']",Sun Jul 15 13:14:19 +0000 2018,stockbard,TAP,Molson Coors Brewing Company,,False,5.114545454545455
7956,1018499020539486200,"['eat', 'one', 'for', 'a', 'shop', 'he', 'tap', 'mr', 'ally', 'out', 'a', 'stag', 'bam', 'ads', 'are', 'for', 'a', 'pot']",Sun Jul 15 14:14:23 +0000 2018,stockbard,TAP,Molson Coors Brewing Company,,False,5.393749999999999
8094,1018522343126306800,"['rt', 'basiccap', 'working', 'on', 'a', 'year', 'time', 'horizon', 'value', 'buy', 'list', 'in', 'liquid', 'names', 'dis', 'tap', 'amp', 'sbux', 'think', 'can', 'be', 'had', 'lower', 'are', 'all', 'on', 'ther']",Sun Jul 15 15:47:04 +0000 2018,DistressedArb,TAP,Molson Coors Brewing Company,,False,5.4925
8155,1018529345806225400,"['ecl', 'tap', 'sbux', 'options', 'have', 'the', 'largest', 'change', 'in', 'price', 'free', 'options', 'screener', 'httpstcoeiisxdkab']",Sun Jul 15 16:14:54 +0000 2018,optioncharts,TAP,Molson Coors Brewing Company,http://maximum-pain.com/screener/options-premium-screener,False,5.904000000000001
8222,1018536786497241100,"['stay', 'ms', 'emo', 'dang', 'tap', 'ten']",Sun Jul 15 16:44:28 +0000 2018,stockbard,TAP,Molson Coors Brewing Company,,False,4.970000000000001
8451,1018567011817918500,"['born', 'mr', 'dom', 'tap', 'one', 'ese', 'i', 'am', 'hd']",Sun Jul 15 18:44:34 +0000 2018,stockbard,TAP,Molson Coors Brewing Company,,False,5.515555555555555
8518,1018578107010310100,"['analysts', 'noticed', 'tappingcoin', 'taps', 'hours', 'increase', 'of', 'httpstcocboyowyize']",Sun Jul 15 19:28:39 +0000 2018,whatsonthorold2,TAP,Molson Coors Brewing Company,https://www.whatsonthorold.com/2018/07/15/analysts-noticed-tappingcoin-taps-24-hours-increase-of-0-02/,False,5.4159999999999995
